Spanish,English
saluto,greeting
ĝin,it
ni,we
ĉi,this
oni,one
ili,they
esperanto,Esperanto
mia,my
tiu,that
pri,about
ĝi,it
kiu,who
kiel,how
kio,what
ankaŭ,also
povas,can
havas,have
scias,know
homo,people
da,of
volas,want
estis,was
el,from
kial,why
iu,someone
ja,yes
min,me
jam,already
alia,other
pensas,think
kiam,when
nu,well
grupo,group
devas,must
per,through
vere,truly
uzas,use
multe,much
parolas,speak
kie,where
plej,most
tiel,so
ol,than
afero,thing
pro,because of
unu,one
nomo,name
angla,English
vin,you
laŭ,according to
lando,country
komprenas,understand
esti,be
loĝas,live
eĉ,even
ha,oh
ĉe,at
io,something
multa,many
tute,completely
ekzistas,exist
ĝis,until
ankoraŭ,still
esperanta,Esperanto (adjective)
haha,haha
nova,new
diras,say
ĉiam,always
neniam,never
je,at
konas, know (someone)
diris,said
esperantisto,Esperantist
ŝi,she
fari,do/make
diri,say/tell
fakte,in fact
tro,too/much
fek,shit
estus,would be
dum,during
signifas,mean
tago,day
kelka,some
bezonas,need
paroli,talk/speak
ĵus,just
tiom,so much
nia,our
kato,cat
usono,USA
jaro,year
bonveno,welcome
amiko,friend
uzi,use
fartas,feels/does (well)
certe,certainly
tempo,time
du,two
tamen,however
antaŭ,before
kredas,believe
iom,a little
hodiaŭ,today
post,after
povus,could
neniu,nobody
lerni,learn
faras,do/make
kia,what kind of
ŝajnas,seems
jen,here is/are
devus,should
granda,big
sur,on
mem,self
estos,will be
simple,simple
nokto,night
kompreneble,of course
tia,such
ĉio,everything
verŝajne,probably
poste,afterwards
faris,did/made
amas,love (noun)
plu,more
urbo,city
bela,beautiful
preskaŭ,almost
bonege,excellently
mesaĝo,message
sen,without
sama,same
vidis,saw
mu,moo
gravas,is important
hispana,Spanish
sia,one's own
inter,between
mundo,world
sufiĉe,enough
iam,sometimes
legis,read
vidas,see
sal,hi/hello
pensis,thought
telegramo,telegram
pardonu,forgive me/excuse me
venas,comes
bildo,picture
same,same
ktp,etc.
filmo,movie
dio,God
denove,again
frazo,sentence
eblas,is possible
ve,woe
iomete,a little bit
ajn,ever
libro,book
trovis,found
esperante,in Esperanto
bovino,cow
horo,hour
vortaro,dictionary
vera,true
tiam,then
ĝuste,rightly
kutime,usually
tuta,whole
mojosa,awesome
havis,had
ligilo,link
kara,dear
parto,part
kanto,song
malbona,bad
lia,his
ideo,idea
almenaŭ,at least
ekzemple,for example
bedaŭrinde,unfortunately
duolingo,Duolingo
funkcias,works
vivo,life
pravas,is correct
volis,wanted
memoras,remember
glumarko,pencil
baldaŭ,soon
legi,read
kurso,course
havi,have
aŭdis,heard
hahaha,hahaha
vidi,see
esperantujo,Esperantoland
iri,go
video,video
komencanto,beginner
interese,interestingly
lernas,learn
ludo,game
ido,child
ambaŭ,both
tial,therefore
franca,French
mono,money
sciis,knew
roboto,robot
prave,correctly
temas,is about
okazas,happens
lernejo,school
trovi,find
lernis,learned
okej,okay
filmeto,film
bonvolu,please
vetero,weather
ŝajne,seemingly
stranga,strange
malpli,less
iru,go
propra,own
esperas,hope
flago,flag
laboro,work
kanalo,channel
babilejo,chat room
antaŭe,previously
nomiĝas,is called
ege,very much
versio,version
diru,tell
komprenis,understood
germana,German
dua,second
ulo,someone
kompreni,understand
dormi,sleep
uzis,used
grava,important
estu,be (imperative)
rusio,Russia
bonega,great
oo,oops
preferas,prefers
manĝi,eat
ĝusta,correct
nek,neither/nor
scii,know
membro,member
malfacila,difficult
stulta,stupid
persono,person
krei,create
loko,place
krom,except
irano,Iranian
infano,child
iras,goes
certas,is sure
retejo,website
nedankinde,ungratefully
litero,letter
sistemo,system
parolis,said
dirus,would say
viro,man
partio,party
